Actual,Predicted
370.1000061035156,35.92890930175781
373.1000061035156,273.68829345703125
372.20001220703125,383.90594482421875
373.0,378.658935546875
373.1499938964844,375.72918701171875
373.1499938964844,375.099609375
375.0,376.83966064453125
373.7999877929688,374.5401306152344
371.70001220703125,372.34405517578125
371.6000061035156,371.4019775390625
370.7999877929688,371.07513427734375
370.70001220703125,370.36419677734375
370.75,370.227783203125
372.3999938964844,371.75
372.1499938964844,372.05096435546875
373.0,372.86376953125
374.1499938964844,373.70806884765625
373.5,373.6178894042969
373.54998779296875,372.81854248046875
373.8500061035156,374.0302429199219
374.29998779296875,373.69134521484375
374.3500061035156,373.9449462890625
373.70001220703125,373.3789978027344
373.45001220703125,372.72552490234375
373.54998779296875,373.2381591796875
373.25,372.9561462402344
373.5,373.38885498046875
372.70001220703125,372.1256408691406
371.04998779296875,370.79693603515625
370.45001220703125,370.0081787109375
368.0,368.2445068359375
367.70001220703125,367.3465576171875
367.29998779296875,367.1435241699219
367.70001220703125,367.36004638671875
366.3999938964844,366.21734619140625
366.3999938964844,366.0467529296875
365.3999938964844,365.1439208984375
365.6499938964844,365.60888671875
366.2999877929688,365.82781982421875
365.70001220703125,365.5430908203125
365.0,364.6954650878906
364.3999938964844,364.2611999511719
364.1000061035156,363.662353515625
364.1499938964844,363.95623779296875
363.25,363.1219482421875
362.25,362.394287109375
363.0,362.4826354980469
362.6000061035156,362.45489501953125
364.0499877929688,363.9826965332031
364.75,364.78375244140625
366.1000061035156,365.49127197265625
366.54998779296875,366.0184326171875
367.1499938964844,367.04864501953125
366.6499938964844,366.46014404296875
366.6000061035156,366.475341796875
367.0499877929688,366.836181640625
366.6000061035156,366.5870361328125
364.54998779296886,364.2637939453125
365.04998779296875,364.73681640625
365.3500061035156,365.28375244140625
366.0,365.740966796875
365.0,364.82379150390625
365.6499938964844,365.439453125
366.79998779296886,366.55523681640625
368.5499877929688,368.22039794921875
367.6000061035156,367.25421142578125
368.3500061035156,368.20068359375
369.04998779296886,368.8919677734375
368.45001220703125,368.1405944824219
367.7999877929688,367.44927978515625
368.29998779296886,367.99200439453125
369.1499938964844,369.09161376953125
368.95001220703125,368.55792236328125
369.25,368.91510009765625
369.6499938964844,369.2603759765625
371.70001220703125,371.6437072753906
